Malét a mbôñe hyémbi.	Màlêt à mɓōŋɛ hyembi.
Aviyoñ a ñkena bôt i muu tuye.	Aviyoñ à ŋkɛ̀na ɓôt i mùù tuyɛ̂.
Di gwéé ñgeñ bôô yeyee.	Dı̀ gwèe ŋgɛŋ ɓoō yeyee.
Me mmal bandap nson, mut a tééñga ha ndugi bañ ki me.	Mɛ̀ m̂mâl bandap ǹsɔn, mùt à tèèŋgà ha ndugi ɓâŋ ki mɛ̂.
Kii i u mbônde ha?	Kii i u mɓòndɛ hâ?
Kii we u nhyañga hala? .	Kii wɛ u nhyañga halà? .
Poñbe ni tjay.	Poñbe nı̀ cay.
A ñkahal kôhle gwom gwéé.	À ŋ̀kahal kôhle gwɔm gwee.
A ntjégél hop i ndap suglu.	À ǹcegel hɔp i ndap sǔglù.
A yé ñkombén hana ini mbay.	À yè ñkombén hana ini mbāy.
Jañga li mbéna ne ñgandak.	Jañga li mɓèna nɛ ŋgandàk.
Kii u nnunuu me hala?	Kii u nnunuu mɛ halà?
Nléla a nnidil me man.	Ǹlèla à nnidil mɛ man.
Hikoba hini, heni, kañ.	Hikoba hini, heni, kañ.
Baa nlimil woñ u gwéé libôñgô?	Ɓàa ǹlimı̄l wɔŋ u gwèe libôñgô?
Mbebi i nnudul bie isi; mbebi i nhôñ.	Mbɛ̀bi i nnudul biɛ isı̄; mbɛ̀bi i nhôñ.
U pénda bañ i ñkwel u.	Ù pénda ɓâŋ i ŋkwɛ̀l û.
Mudaa nunu a mbayap ñgandak.	Mùdàa nunu à mbayap ŋgandàk.
Malét a mbéna bude boñge bé = niñi isi ni bép disôô.	Màlêt à mɓèna bude ɓɔ̀ŋgɛ ɓe = nı̀ŋi isı̄ nı̀ ɓep disòo.
Basahanyik ba ntulul ndigi ikédé bikay.	Basahanyik ɓa ntulul ndigi ikède bikay.
Ñwaa woñ a ntonba.	Ŋwàà wɔŋ à ǹtɔ̀nɓà.
Man woñ a ñkôm.	Mǎn wɔŋ à ŋkom.
Kii me tagbege a añal me sañ.	Kii mɛ̀ tagbege à āŋâl mɛ sàŋ.
Di nséé malo moñ.	Dı̀ nsēe màlɔ̀ mɔŋ.
Keñgee i nlôñga .	Keñgee i ǹlòŋga .
Loñge a gwéé mambôô2.	Lɔ̀ŋgɛ à gwèe mambôô2.
Bé bé soobe wa ni nsooga (i) ñgéda nôgôs yoñ i bikwél bo (Yés 26,16).	Bé ɓe soobe wa nı̀ nsɔ̀ɔ̀gà (i) ŋgèdà nōgôs yɔŋ i bikwél ɓɔ (Yès 26,16).
Mañ mut u mbabba hyañgaa.	Maŋ mùt u mɓābɓa hyaŋgaa.
Bép kembe i nnumb manañ.	Ɓep kɛmbɛ̂ i nnùmb manañ.
Kwo ñkaa.	Kwɔ̀ ŋkaa.
A ñkal we mpaha.	À ŋkàl wɛ mpaha.
Kon makôô u ntindbaha nye.	Kɔ̀n màkòò u ntindbaha nyɛ.
Mut a nlegel mut numpe mam ma bet ma kundi ñgéda lbo nye ba nnomol, inyuule a mbañal ha bé jam li pot mut nu. .	Mùt à ǹlɛgɛ̄l mùt nûmpɛ màm ma ɓɛt ma kundi ŋgèdà lbo nyɛ ɓa nnomol, inyùulɛ̄ à mɓāŋal ha ɓe jàm li pɔt mùt nû. .
Bôt bobasô ba mbégi.	Ɓòt ɓɔɓasô ɓa mbégi.
Hiñgonda hi nsebel makabô.	Hı̀ŋgɔ̀ndà hi nsebel makàbò.
Tubul mut hipa (Man 1,10).	Tubul mùt hı̀pa (Màn 1,10).
Bôt bada.	Ɓòt ɓada.
A mbôône bés.	À mɓoonɛ ɓes.
Mbay yéé i ntôla lipénd.	Mbay yèe i ntola lipènd.
Bôt baa = mut wada ñgélé iaa.	Ɓòt ɓaa = mùt wada ŋgèlè iaâ.
Mam ma nsañgla.	Màm ma nsañgla.
A nsôñglaha me kaat; di nsôñglaha kaat.	À ǹsoŋglaha mɛ kaàt; dı̀ ǹsoŋglaha kààt.
Mapam i mbay suglu.	Màpam i mbāy sǔglù.
Ñgwa wé lem u!	Ŋgwà we lɛ̄m û!
Ñgoñgoñ ñem mau.	Ŋgɔ̀ŋgɔ̀ŋ ŋɛm mau.
Me ñke i bemb ñwaa wem i gar.	Mɛ̀ ŋkɛ̀ i ɓɛ̌mb ŋwaa wɛ̂m i gar.
Mañge a ntônd ni ñkoñ.	Màŋgɛ à ntônd ni ŋkɔ̀ŋ.
isañ man a mbibil yaga man ha bisu bi malét wéé.	ı̀saŋ man à mɓı̄bil yaga man ha bisū bi malêt wee.
Ke tjo kabi.	Kɛ̀ cɔ kabi.
Di mbéna il kabunda hikañ to i sôñ dipos.	Dı̀ mɓèna il kabunda hı̀kaŋ tɔ̀ i sōŋ dı̀pɔ̀s.
Mañge nunu a mbéna gwô.	Màŋgɛ nunu à mɓèna gwô.
Me ntihba nyoo.	Mɛ̀ ntı̄hba nyɔɔ.
Ba nhôlna nson .	Ɓa nhôlna ǹsɔn .
Hyañgaa hi mbay.	Hyàŋgaa hi mbāy.
A nyoña mañge mudaa.	À ńyɔŋā maŋgɛ mùdàa.
Loo!	Loo!
Kôli i ney.	Kolı̂ i nɛ̀y.
Nyôba u nlona bibuk bibe.	Nyôba u nlɔ̀na biɓuk bı̀ɓɛ.
Me nnyiimbene mut nyuñga môô.	Mɛ̀ nnyiimbene mùt nyùŋga moo.
I mut nunu a yé limuge.	I mùt nunu à yè limuge.
Me mmal babas.	Mɛ̀ m̂mâl babas.
Ba mut pék = yila mut pék, mut nu a ñkon Nyambe woñi.	Ɓa mùt pêk = yı̀là mùt pék, mùt nu à ŋkɔ̀n Nyambɛ wɔ̀ŋi.
Ñgomén a ñôñha bôt mandap ma bibende; di biôñha mandap més.	Ŋgɔmên à ñôñha ɓôt mandap ma bibende; dı̀ biôñha mandap mes.
Lilelna bijek nloñ li nlo laa?	Lilelna bı̀jɛk nlɔ̄ŋ li nlɔ laa?
Me mbagle(ne) bo inyuu semb liyôgbe.	Mɛ̀ mɓāglɛ(nɛ) ɓɔ inyùu semb liyôgbe.
Likôga li nnyadla batone.	Lı̀kòga li nnyadla ɓatɔ̀nɛ̀.
Lisôô nsugi.	Lı̀sòò nsugi.
A ntoñ me juu ni ñway.	À ntɔ̀ŋ mɛ jùu nı̀ ñway.
Hiun hi ntu ; lisun li ntu.	Hı̀un hi ntu ; lisun li ntū.
Mut a ñabal soso hop.	Mùt à ŋ̀abal sɔsɔ̄ hɔp.
Masôk ma suglu ma kôli ni kogse.	Màsok ma sǔglù ma kòli nı̀ kogse.
Kipôdô bo Kitô.	Kipôdô ɓɔ Kitô.
Mudaa a mbenep, nye a si bé hiloga hi.	Mùdàa à mbenep, nyɛ à si ɓe hilɔga hı̂.
Mut nunu a yé kidik.	Mùt nunu à yè kidik.
Litadak u ntat biñgond gwoñ li nnôlha me.	Litadak u ǹtat bı̀ŋgɔ̀nd gwɔŋ li nnôlha mɛ̂.
A nnyañle me sôya ni hinoo.	À nnyañle mɛ̀ soyà nı̀ hı̀nɔ̀ɔ.
Njoñ i nhus.	Njɔ̀ŋ i nhus.
Di ññwéhlana.	Dı̀ ññwéhlana.
Manjel ma kôbôl njék ma yé ntabda.	Manjel ma kobol njêk ma yè ntabda.
Kibii bés i moo ma ñemb.	Kibii ɓes i mɔ̀ɔ ma ŋ̀ɛ̀mb.
A ñkagal mañ mut.	À ŋ̀kagal maŋ mût.
Jôñ mut i nyi bé le mbegee i ñét.	Joŋ mùt i ńyı̄ ɓe lɛ mbɛ̀gɛ̀ɛ̀ i ñét.
Bôt ba nyañgbene me.	Ɓòt ɓa nyañgbene mɛ̂.
Me njôl i su kii ñgwo.	Mɛ̀ njôl i su kı̀i ŋgwɔ.
Hyéé hi nloñ hi siye; siye mut nunu loñge.	Hyèe hi nlɔ̄ŋ hi siye; siyɛ mùt nunu lɔŋgɛ̂.
Nunu mut a gwéé bibuk bibe.	Nunu mùt à gwèe biɓuk bı̀ɓɛ.
A mpéyéy jam lini i hôla Ñwet.	À mpéyéy jàm lini i hola Ŋwɛ̌t.
Ba mbédés libômb li bijek.	Ɓa mɓēdes libômb li bijɛk.
Ba mbédés libômb li bijek.	Ɓa mɓēdes libômb li bijɛk.
Mañge a mbôbhe me jomb.	Màŋgɛ à mbôbhe mɛ̀ jɔ̌mb.
Malok ma kôsi.	Màlɔk ma kôsi.
Mut nu a kôdi ?	Mùt nu à kodi ?
Nyee i ntibil libum.	Nyee i ntı̄bil liɓùm.
Nyee i ntibil libum.	Nyee i ntı̄bil liɓùm.
Libél li nhañ bé i mbok.	Lı̀ɓèl li nhāŋ ɓe i mbɔk.
Tudu i mbas.	Tudu i mbâs.
Kapénda i ntubus ñgandak mapondo; di ntubus tjémbi.	Kapendà i ntūbus ŋgàndàk mapɔ̀ndɔ; dı̀ ntūbus tjémbi.
Liyoña li mudaa (MLY).	Liyoña li mùdàa (MLY).
Me ntol bitôdô.	Mɛ̀ ntol bitòdò.
Ñin kuumba u njés bon lôñni nsohol.	Ñin kuumba u ǹjes ɓɔn lòŋnı̀ nsohol.
Ñkum u nyuk.	Ñkum u ńyùk.
Ki me ki a nlo béé.	Ki mɛ̀ ki à nlɔ̀ ɓee.
Me gwéé tua ñkwade.	Mɛ̀ gwèe tùa ŋkwadɛ.
Litôp mut jôy, litôp hyémbi.	Litôp mùt jôy, litôp hyembi.
Sômbôl me libadô!	Sombol mɛ̀ libadô!
A nhyelbana me ntonba.	À nhyelbana mɛ ǹtɔ̀nɓà.
Nyuu i ntomb; mini minsoñgi mi ntomb.	Nyùu i ntomb; mini mı̀nsɔ̀ŋgi mi ntɔ̀mb.
Bôt ba makañ ba mbena bo ni bo.	Ɓòt ɓa makaŋ ɓa mbena ɓɔ nı̀ ɓɔ.
Wen u nhôlha malép ma jogop.	Wɛ̌n u nhōlha màlep ma jɔ̀gɔ̂p.
Mañ pia; mañ mi kakaô.	Maŋ pı̄à; màŋ mi kakāò.
We u mbééya yaga bikay hyes!	Wɛ̀ u mbééya yaga bı̀kay hyɛs!
Ba nnoña bikak bi masin.	Ɓa nnɔ̀ŋa bikak bi ması̂n.
MLY:mbot? mbot? mbot? i ñkwo ñkaa.	MLY:mbot? mbot? mbot? i ŋ̀kwɔ ŋkaa.
U ntehe i hyôt hi nlo i pémsan!.	Ù ǹtɛhɛ i hyôt hi nlɔ i pémsan!.
Hisoo hyem hi yé hee? Ho hini!	Hı̀sɔɔ hyɛ̂m hi yè hɛɛ? Hɔ̀ hini!
Mañge a nnyuunda libebi li ndap.	Màŋgɛ à nnyuunda lı̄ɓɛ̀bi li ndap.
Njee a nléhés boma ini?	Njɛɛ à nléhés ɓɔ̀ma ini?
Ba ntôdlaha nye bañan bakén yañga; di ntôdlaha ni baudu.	Ɓa ntôdlaha nyɛ bañan ɓàkèn yàŋgà; dı̀ ntôdlaha ni ɓaudu.
Lisoba li nyuu (MLY).	Lı̀sɔ̀bà li nyuu (MLY).
Likoñ joñ li mpek.	Lı̀kɔ̀ŋ jɔŋ li mpek.
Mbôñe i yé nuñgne i hyandi.	Mbôñe i yè nuñgne i hyàndi.
Ba njul bôt i kédé hisi.	Ɓa njûl ɓôt i kède hisi.
Man a ñwéhél me yañan mbot.	Mǎn à ŋwehel mɛ yàŋan mbɔt.
Baeñ maok ba ntôl munu i bésni iloo bañwot wain.	Baeñ màɔ̀k ɓa ntòl munu i bésni ı̀lɔ̀ɔ̀ bañwot wain.
Nsélél u hikii kel u nséhi ndik kel yada.	Ǹselêl u hikı̀i kɛl u nséhi ndik kɛl yàda.
Jumbul li saay.	Jumbul li sàây.
Begee ñkokon señgeseñge.	Ɓɛ̀gɛ̀ɛ̀ ŋkɔ̀kɔ̂n sɛŋgɛsɛŋgɛ.
Libehna li ta bé munu lép unu.	Libehna li ta ɓe munu lep unu.
Ndééñga a ñkes.	Ndééñga à ñkes.
Bisônda bi ñgwela.	Bı̀sonda bi ŋgwɛ̀là.
Gwom bihogi bi ta béé; bôt bahogi; ñgéda (i)hogi.	Gwɔ̌m bı̀hɔgi bi ta ɓèe; ɓòt bahogi; ŋgèdà (i)hogi.
Balap su.	Balap su.
Bébkembe i nlôôha je ñwañan ñwom.	Bébkembe i nlòòha jɛ ñwañan ŋwɔm.
Jomol jéé li ñégha me sôya.	Jɔ̀mɔ̂l jee li ŋ̀êgha mɛ sōya.
Ba ñublaha me makabô; mañge a ñublaha me sô.	Ɓa ŋublaha mɛ makabô; màŋgɛ à ñublaha mɛ so.
Urs i nyén biloñ bisuni bi mbeñge.	Urs i ńyèn bilɔ̀ŋ bisuni bi mbɛ̀ŋgɛ̀.
Me nsébla mu i dina li.	Mɛ̀ nsèbla mu i dina lı̂.
Mudaa a nsôñ nlôm.	Mùdàa à ǹsôŋ nlom.
Bilébla bi ntém bee.	Bilébla bi ntem ɓɛ̄ɛ.
A yé mbômba mut.	À yè mɓòmɓa mût.
Himala hi njal (uné faminé, dié Hungérsnit, a faminé).	Hı̀màla hi njâl (uné faminé, dié Hungérsnit, à faminé).
Ibale u nyi bé hyôm (i) tison u ntek bé jañ.	Iɓālɛ̄ u ńyı̄ ɓe hyom (i) tisɔ̀n u ntɛ̄k ɓe jaŋ.
Bihuga bi ntôl hana i pes mbok ini.	Bihuga bi ntòl hana i pɛ̀s mbɔk ı̀ni.
Malét a nniiga liloñge.	Màlêt à nnı̄iga liloñge.
Biténis gwem bi mpédi inyuule nop a bak ñgandak.	Biténis gwɛ̂m bi mpedi inyùulɛ̄ nɔ̌p à ɓak ŋgandàk.
Mut nunu a mbigde mam	Mùt nunu à m̂ɓigdɛ màm
Ndi m(e g)atohol bé me bo ni...lijo... Hôséa 1:7.	Ndi m(e g)atohol ɓe mɛ ɓɔ ni...lijo... Hòseà 1:7.
Me tôdge bañ, me nyaa ndigi kel i nye.	Mɛ̀ tôdge ɓâŋ, mɛ̀ nyaā ndigi kɛl i nyɛ.
Umbee ntén libadô.	Umbee ǹten liɓàdò.
Pan i ñkwo isi le kôññ!	Pân i ŋ̀kwɔ isı̄ lɛ kôññ!
Mut nunu a nluk matôa bañga liluguk.	Mùt nunu à ǹluk matoà ɓàŋga liluguk.
Libôl li ñgambi li dokta li ñkoñ.	Libôl li ŋgambi li dɔ̂ktà li ŋkɔ̀ŋ.
nnobol matebel	nnobol màtɛbɛ̂l
Mut mindañ nunu!	Mùt mindaŋ nunu!
Minhon misamal.	Minhon misamal.
Ndéé imbee sôñ i ntel?	Ndèè ı̀mbɛɛ sōŋ i ntel?
Ba nligis hitjo i ndap Jop.	Ɓa nligis hicɔ i ndap Jɔ̌p.
Me nniñne man i kaga.	Mɛ̀ nniñne man i kagā.
Me mbedna bijek i ndap ñgii.	Mɛ̀ mbedna bı̀jɛk i ndap ŋgı̀ı̀.
Pele ndap.	Pɛlɛ ndap.
A nléñél maok i libôndô.	À nléñél màɔ̀k i lı̀ɓòndo.
Kia lisoñ.	Kia lı̀sɔ̀ŋ.
Me ñoo manyuuñgana.	Mɛ̀ ŋ̀ɔ̀ɔ̀ manyuuñgana.
Bôt ba mok ba nsôl nye; pan yem i nsôl libôñgô.	Ɓòt ɓa mɔ̀k ɓa nsòl nyɛ; pân yɛ̂m i nsòl lı̀ɓòŋgò.
Yééne i miñoñ; yééne ane.	Yèènɛ i miñoñ; yèènɛ anɛ̀.
U ééha bañ nunu man, nyañ a yé i wom.	Ù ééha ɓâŋ nunu man, nyâŋ à yè i wɔ̌m.
Hihéga hi beegene yada: puhpus, bruwet.	Hihéga hi ɓɛɛ̄gɛnɛ yada: puhpus, bruwet.
Liyep li ntulus wip (bibéba bi mam) i loñ yés.	Lı̀yɛp li ǹtulus wı̌p (bibéba bi mam) i lɔ̀ŋ yes.
Me ñkahal bombol nye ni mbek .	Mɛ̀ ŋ̀kahal bombol nyɛ nı̀ m̂ɓɛk .
Ba ñkéna nye señgaseñga.	Ɓa ŋkēna nyɛ señgaseñga.
Ba nhue mim i soñ.	Ɓa nhuɛ mı̂m i sɔ̀ŋ.
Hiñgonda hini hi mbôône liwanda jé.	Hı̀ŋgɔ̀ndà hini hi mɓoonɛ liwanda je.
A ñkon sôndôk i mbus.	À ŋkɔ̀n sôndôk i mbūs.
Jôy/jôl joñ le njee?	Jôy/jôl jɔŋ lɛ njɛɛ?
Mbénd i nsia nye.	Mbénd i nsia nyɛ.
Mbénd i nsia nye.	Mbénd i nsia nyɛ.
Kii u ntjiimbe hala?	Kii u ntjiimbe halà?
Lo kop me nyono.	Lɔ̀ kɔ̂p mɛ̀ nyɔ̀nɔ.
Ntida malép.	Ntida malep.
Kodoo soñ.	Kodoo sɔ̀ŋ.
Boñge ba ñéblana malép.	Ɓɔ̀ŋgɛ ɓa ñéblana malep.
homa a yé me munu i kôô waalôm	hɔ̀ma à yè mɛ̀ munu i kòò waalōm
[135]?	[135]?
hii mut a kôhôk kikii tel yéé	hii mùt à kohòk kı̀kı̀i tɛl yèe
Libebek ba mbep likondo li ñkwo béé.	Libebek ɓa mɓɛ̄p likɔ̀ndɔ̀ li ŋ̀kwɔ ɓee.
Bôô mut.	Ɓòò mût.
A nsumha me ték metama, tehe kii ba nsumha hisi.	À ǹsûmha mɛ̀ têk metama, tɛhɛ kı̀i ɓa ǹsûmha hisi.
Hiônde hi ñkwél .	Hı̀òndɛ̀ hi ŋkwêl .
Libémél li masiñ li gwéé bôt ba wip.	Libémél li ması̀ŋ li gwèe ɓòt ɓa wip.
Bogdene ni kwade woñ.	Ɓɔ̀gdɛnɛ nı̀ kwadɛ wɔŋ.
Me nje bé bisuguu bi junuk.	Mɛ̀ njɛ̄ ɓe bisuguu bi junuk.
A nsééaha me loo, di nsééaha miñkok ñwés.	À ǹseeaha mɛ lɔ̀ɔ, dı̀ ǹseeaha miŋkɔ̀k ŋwes.
Ñwaa wem a nsébél ñwet a ñgwal me le sôgôl.	Ŋwàà wɛ̂m à nsèbel ŋwɛ̀t à ŋgwāl mɛ lɛ sogol.
Mut a nyééne hiindi .	Mùt à ńyèènɛ hiı̀ndi .
Bitamb gwéé bi nnyambi taptap.	Bitamb gwèe bi nnyambi taptap.
Libôñôl li bisel.	Libôñôl li bı̀sɛ̀l.
séñha i mboñ le nluñ flawa u nyep/nyep	sèŋha i mɓɔ̀ŋ lɛ nlùŋ flawa u nyep/nyep
Libolok joñ li sañ li ñéba le u yé mut ñkoñ.	Libolok jɔŋ li sàŋ li ŋēba lɛ u yè mùt ŋkɔ̀ŋ.
Me nnok le u nlék, asiya añ!	Mɛ̀ ǹnɔk lɛ u nlék, asiya àŋ!
Wek lo bôble le munu nlamb unu!	Wɛ̀k lɔ̀ bôble lɛ munu ǹlamb unu!
Kuduk njel.	Kùduk njɛ̀l.
Bihôn bi ta bé ñkoñ wem.	Bihôn bi ta ɓe ŋkɔ̀ŋ wɛ̂m.
Me mbodle biték ni hisoo.	Mɛ̀ mɓɔ̄dlɛ bı̀tèk nı̀ hisɔɔ.
Inyukii Nyambe a hégél mut?	Inyǔkı̄i Nyambɛ à hègel mut?
Saatan a yé ni mbok yosô.	Saatan à yè nı̀ mbɔk yɔ̀sô.
Libôdbak li man a nnañal.	Libôdbak li man à nnàŋàl.
Lihak li ñkôme i lép li ta bé lilam.	Lihak li ŋkòmɛ̀ i lep li ta ɓe lı̀lam.
Hinyodol hi gwéé mbôñgô joo.	Hinyodol hi gwèe m̂ɓoŋgo jɔ̀ɔ.
Ba kahal huñbene ñwet mbay (Mat.20,11).	Ɓa kahal huñbene ŋwɛ̀t mbāy (Mat.20,11).
Mudaa jém a ñômbôp.	Mùdàa jěm à ŋ̀ombòp.
A nlo kekela.	À nlɔ̀ kekela.
Leglene me ñwin.	Lɛglɛnɛ mɛ̀ ŋwı̀n.
Masôs ma tuye; matémb ma tuye.	Màsòs ma tuye; màtèmb ma tuyɛ̂.
Nunu mut a nyuuba.	Nunu mùt à nyuuba.
Kii i ntagbe?	Kii i ntagbe?
U tébha bañ me to kii, di ntébha nlélém mut.	Ù tébha ɓâŋ mɛ̀ tɔ̀ kii, dı̀ ntébha nlèlèm mût.
Ti me lita maok.	Ti mɛ̀ lita maɔ̀k.
Tehe kii a mbuumba ni matôm ma ndap.	Tɛhɛ kı̀i à mɓūumba ni matōm ma ndap.
Ndék mañge me yik hana a ñkogi.	Ndèk màŋgɛ mɛ̀ yik hana à ñkogi.
Bee bi mbahla.	Ɓɛɛ bi mbahla.
Me nlélél lép i môñgô.	Mɛ̀ nlēlel lep i mòŋgo.
Ibale u nsul bé nsoñ, u ñogba.	Iɓālɛ̄ u ǹsùl ɓe nsɔŋ, u ñogba.
Lindam li man.	Lı̀ndam li man.
Faara yem i ñkon.	Faara yɛ̂m i ŋkɔ̀n.
Dison di ñoñ munu mabap ma ndap.	Dı̀sɔ̀n di ŋ̀ɔŋ munu maɓāp ma ndap.
Bisahô bi biôbôs nye makôô.	Bisahô bi biôbôs nyɛ makòò.
Mañge a mbôlôl majô hiônde.	Màŋgɛ à m̂ɓolol màjò hiòndɛ̀.
Mapep moñ ma mbénda béé.	Mapɛ̄p mɔŋ ma mbèndà ɓee.
Mañge a nsôk (i) suglu.	Màŋgɛ à ǹsok (i) sǔglù.
Mudaa a mbuñgul hibee mpele.	Mùdàa à mbuñgul hı̀ɓɛ̀ɛ m̂pɛ̀lɛ.
Lumbe masay; podok me nnok?? (MLY).	Lumbe masay; pɔ̄dɔk mɛ̀ nnok?? (MLY).
Tomb yebiyebi.	Tomb yebiyebi.
Me bibénde bôt me mal téé bapubhaga, YÉS 13,3.	Mɛ̀ bibénde ɓôt mɛ̀ mâl tee bapubhaga, YÉS 13,3.
A nto ntook.	À nto ǹtɔ̀ɔ̂k.
Yom i ñkwél me.	Yɔ̌m i ŋkwêl mɛ̂.
Linya li bitôñ.	Lı̀nyà li bitòŋ.
A nnédés ñgandak hiônde.	À ǹnedēs ŋgàndàk hiòndɛ̀.
Ñgas i yé béñél i nuga bikay.	Ñgas i yè ɓèŋel i nugā bikay.
Kôa i gwéé hyémbi hi bijubul.	Koà i gwèe hyèmbi hi bijubul.
Banégél ba ntôl ha bé i len ini.	Banégél ɓa ntòl ha ɓe i lɛ̀n ini.
Di nnok mbimba mbebi.	Dı̀ ǹnɔk mbimbà mbɛ̀bi.
U jôha bañ me.	Ù jôha ɓâŋ mɛ̂.
Man muunlôm a hééba ñambi wé.	Mǎn muunlôm à heeba ñambi we.
Yuda a bitémb...i meni...ndik ni bihéñba (Yér 3,10).	Yudà à bitémb...i meni...ndik nı̀ bihéñba (Yèr 3,10).
Ñkandga ndap u ñkwo.	Ñkandga ndap u ŋkwɔ̂.
A mbép nye libay baññ!	À m̂ɓep nyɛ liɓay ɓaŋŋ!
Ndap yem i yé mbôô len!	Ndap yɛ̂m i yè mboo lɛ̀n!
Kôôt libadô.	Kôôt liɓàdò.
Kôôt libadô.	Kôôt liɓàdò.
Kôôt libadô.	Kôôt liɓàdò.
Nuga i nyugne i bel.	Nùga i nyugne i ɓɛl.
Leñ njom (Sôf 3,14).	Lɛ̀ŋ njɔ̀m (Sôf 3,14).
Hibi hi hyobi hi ntôl béé.	Hibi hi hyɔbı̄ hi ntòl ɓee.
Sugus nye i mbus nlôñ.	Sugus nyɛ i mbūs nlòŋ.
Ya, matôa moñ ma ñke bé loñge!	Ya, matoà mɔŋ ma ŋkɛ̀ ɓe lɔŋgɛ̂!
Bi bijek u ñkébél nye bi nhii nye	Bi bı̀jɛk u ŋkèbel nyɛ bi nhı̄i nyɛ
Lipôdôl li Yawé (Yahwéh).	Lı̀podôl li Yawè (Yahwéh).
Ñgéda mut nunu a béé man, a néñél i ndap majô méé ni majô méé a boy nye.	Ŋgèdà mùt nunu à ɓee man, à neŋel i ndap màjò mee nı̀ màjò mee à bɔ̂y nyɛ.
Umul me nye ndondok.	Umul mɛ̀ nyɛ ndɔ̀ndɔ̀k.
Nop a mbumblaha bés bijek ñgi kôôba.	Nɔ̌p à mbumblaha ɓes bı̀jɛk ŋgı̀ kôôba.
Me galélél we man tjôs.	Mɛ̀ galélél wɛ man cǒs.
Ñoo wés nunu.	Ñoo wês nunu.
Bôdaa ba mbéna pot diñgônôk.	Ɓòdàa ɓa mɓèna pɔt diñgônôk.
Bésna nye di ñkundha.	Ɓěsnà nyɛ dı̀ ñkundha.
Libanda li kôp li yé inyuu ñwet mbay.	Libanda li kop li yè inyùu ŋwɛ̀t mbāy.
A mam u yé mbôô?	À màm u yè mbôô?
A bikuñge nyum hyéé (MY 2,3).	À bikuñge nyum hyèe (MY 2,3).
Béhna we di nje homa wada.	Ɓěhnà wɛ dı̀ njɛ̄ hɔ̀ma wada.
A nlimis matôa.	À nlimis matoà.
Hinuni hi ñgwia i ñkama.	Hı̀nùni hi ŋ̀gwià i ñkama.
A yé nlam.	À yè ǹlam.
Pek mut a ñkil i ñgii key; pek biibe.	Pek mùt à ŋkı̀l i ŋgı̀i key; pek ɓı̀ı̀bɛ̀.
Mbabi i bee i ñwébla.	Mbàbi i bɛɛ i ñwébla.
Baa ha miñgwañ mi bôt bé ñwon mi ñkép bé, ba tuuak ki béé nyoo (i) kôdi? (Yak 2,6).	Ɓàa ha miñgwañ mi ɓòt ɓe ŋwɔn mi ŋkêp ɓe, ɓa tuuak ki ɓee nyɔ̀ɔ (i) kôdi? (Yàk 2,6).
Baa ha miñgwañ mi bôt bé ñwon mi ñkép bé, ba tuuak ki béé nyoo (i) kôdi? (Yak 2,6).	Ɓàa ha miñgwañ mi ɓòt ɓe ŋwɔn mi ŋkêp ɓe, ɓa tuuak ki ɓee nyɔ̀ɔ (i) kôdi? (Yàk 2,6).
Ndôñgi yem ini.	Ndôñgi yɛ̂m ini.
Bép nyo yéé i yémbi.	Ɓep nyɔ̀ yèe i yémbi.
Ha ñwaa le u yé ha.	Ha ŋwaa lɛ u yè hâ.
Béhna nye di mbébha makondo més.	Ɓěhnà nyɛ dı̀ m̂ɓêbha makɔ̀ndɔ̀ mes.
Kii u nsôbôl bijek?	Kii u ǹsobōl bijɛk?
A hééba sehe i kiñ.	À heeba sehe i kı̄ŋ.
Mut wada hana a ñgi yii nsude.	Mùt wada hana à ŋgi yı̀i nsudɛ̂.
Mañge nunu a gwéé liséha.	Màŋgɛ nunu à gwèe liséha.
Tôle a mbômôl pôs.	Tòlɛ̀ à mɓomōl pōs.
Men me bitagal sô i put.	Mɛ̌n mɛ̀ bitagal so i put.
Hôghe nyuu .	Hôghe nyùu .
Éké! Kii u ñkôp ki me nsugi ni mbot! .	Éké! Kii u ŋ̀kop ki mɛ̀ nsugi nı̀ mbɔt! .
Nsôwa u nne ñgandak.	Nsôwa u nnɛ̀ ŋgandàk.
Tamba woñ a ñkôyôp.	Tàmba wɔŋ à ŋkòyòp.
Ñgwo i ôdi bémba kembe i mbus.	Ŋgwɔ i ôdi ɓèmba kɛmbɛ̂ i mbūs.
hana bisañ ni bôt	hana bı̀sàŋ nı̀ ɓòt
Libaga li hiñgwende.	Lı̀ɓàga li hiñgwende.
Liñgosi li nti bañga bibam.	Liñgosi li ǹti ɓàŋga biɓam.
Nyodna me gwaa ha!	Nyɔdnà mɛ̀ gwàà hâ!
Kii i ntulus we suglu?	Kii i ǹtulus wɛ sǔglù?
Hiñgugle hi mañge.	Hiñgugle hi maŋgɛ.
Binuga bi nje dibala.	Bı̀nùga bi njɛ dibala.
Miñkôñ ñwada mi bikwo isi.	Mı̀ŋkòŋ ñwada mi bikwɔ̀ isı̄.
Kii u nyahlene me hala?	Kii u nyahlene mɛ̀ halà?
Me gatimbil i matôa.	Mɛ̀ gatimbil i matoà.
Hikaga hi ñke kékéndi .	Hikaga hi ŋkɛ̀ kékéndi .
Njel ini i ñap i ke i mbay.	Njɛ̌l ı̀ni i ŋàp i kɛ i mbāy.
